name,category,city,verified_source,notes
ACES - Arts & Community Events Society,arts,Meridian,https://www.acesmeridian.org/contact,Community cultural events; IRS EIN 88-1646006
Bee Unique Arts & After School,youth,Meridian,https://projects.propublica.org/nonprofits/organizations/842728588,501(c)(3) after-school arts program
Boys & Girls Clubs of East Mississippi,youth,Meridian,existing directory (eastmississippibgc.org),National affiliate with local Meridian club; EIN 64-0728662
Care Lodge Domestic Violence Shelter,housing,Meridian,https://www.carelodge.com,DV shelter and services; EIN 64-0750547
Center for Pregnancy Choices of Meridian,health,Meridian,https://cpcofmeridian.com,Pregnancy services; EIN 64-0946353
Central Mississippi Wildlife Rehabilitation,animals,Meridian,https://projects.propublica.org/nonprofits/organizations/814940655,Wildlife rescue and rehab
Choctaw Area Council - Boy Scouts of America,youth,Meridian,https://projects.propublica.org/nonprofits/organizations/646020067,BSA council headquartered in Meridian; IRS lists as Boy Scouts of America (Meridian)
Common Stage Theatre Lab,arts,Meridian,https://projects.propublica.org/nonprofits/organizations/863103281,Community theatre lab
Community Foundation of East Mississippi,other,Meridian,https://cfem.org,Community foundation / philanthropy hub; EIN 64-0702225
Community of Hope,other,Meridian,existing directory (facebook.com/p/Community-of-Hope-100070149852029),Poverty relief; EIN 64-0639097
Dreams Do Come True Community Empowerment Center,housing,Meridian,https://projects.propublica.org/nonprofits/organizations/611559485,Housing / community empowerment
East Mississippi Animal Rescue (EMAR),animals,Meridian,https://www.eastmsanimalrescue.com,Animal rescue; EIN 64-0729604
East Mississippi Crime Stoppers,other,Meridian,https://projects.propublica.org/nonprofits/organizations/320151933,Public safety tips program
East Mississippi Foothills Land Trust,other,Meridian,https://projects.propublica.org/nonprofits/organizations/412125773,Land conservation
East Mississippi Veterans Foundation,other,Meridian,https://www.emsvf.org,Veterans memorial and support
Empower Kids Foundation,youth,Meridian,https://www.thespotfamily.com/empower-kids-foundation,Children/youth; affiliated with The SPOT
Feed by Faith,food,Meridian,https://feedbyfaith.org,Soup kitchen and pantry; EIN 11-3814582
First Tee of Meridian (The),youth,Meridian,https://projects.propublica.org/nonprofits/organizations/203884142,Youth golf and character program
Free Clinic of Meridian,health,Meridian,https://www.freeclinicofmeridian.com,Free charitable medical clinic; EIN 45-5309446
Go Green Meridian,food,Meridian,https://projects.propublica.org/nonprofits/organizations/813438665,Community gardens / local food access
Habitat for Humanity - Lauderdale County,housing,Meridian,https://projects.propublica.org/nonprofits/organizations/640770209,Local Habitat affiliate; EIN 64-0770209
Hope Village for Children,youth,Meridian,https://www.hopevillagems.org,"Foster, abused and neglected children; EIN 64-0927575"
Illuminations Center for Dyslexia,youth,Meridian,https://illuminationsdyslexia.com,Dyslexia education support; EIN 46-3165332
